t,Unnamed: 0,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-06-22 13:09:00,47665,2020-21,A69-9006-7849,6/22/2020 13:09,4004.25,6238.22,3.184,34.410251,-119.560039,12,2.5,,,3.1835,,In_A In_B In_C Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.560039 34.410251),0 days 00:02:00,0.737861516092982,POINT (-119.560168 34.411042),172.3370489994577,127.78758993653946,1
2020-06-22 13:10:00,47666,2020-21,A69-9006-7849,6/22/2020 13:10,3924.33,6284.45,3.184,34.410667,-119.560908,3,2.8,,,3.1835,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1,POINT (-119.560908 34.410667),0 days 00:01:00,1.5377298441807257,POINT (-119.560039 34.410251),300.12463893599715,17.442071432787877,1
2020-06-22 13:11:00,47667,2020-21,A69-9006-7849,6/22/2020 13:11,3879.1,6333.65,3.184,34.411111,-119.5614,7,2.8,,,3.1835,,In_A In_B In_C Off_A Off_B OS1,In_A In_B In_C Off_A Off_B OS1,POINT (-119.5614 34.411111),0 days 00:01:00,1.114536981108939,POINT (-119.560908 34.410667),317.56671036878504,37.80664792295813,1
2020-06-22 13:12:00,46212,2020-21,A69-9006-7849,6/22/2020 13:12,3872.51,6415.05,2.729,34.411845,-119.561472,6,3.0,,,2.7287,,In_A In_B In_C Off_A Off_B OS1,In_A In_B In_C Off_A Off_B,POINT (-119.561472 34.411845),0 days 00:01:00,1.3615188795211333,POINT (-119.5614 34.411111),355.37335829174316,-38.80992137844628,1
2020-06-22 13:13:00,46213,2020-21,A69-9006-7849,6/22/2020 13:13,3816.82,6473.68,2.729,34.412373,-119.562078,9,3.1,,,2.7287,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.562078 34.412373),0 days 00:01:00,1.34727475229547,POINT (-119.561472 34.411845),316.56343691329687,-14.699329512163494,1
2020-06-22 13:14:00,45640,2020-21,A69-9006-7849,6/22/2020 13:14,3741.35,6520.37,2.577,34.412794,-119.562899,1,5.0,,,2.5771,,In_A In_B Off_B OS1,In_A In_B Off_B,POINT (-119.562899 34.412794),0 days 00:01:00,1.4793150804383608,POINT (-119.562078 34.412373),301.86410740113337,14.961553324236196,1
2020-06-22 13:15:00,44449,2020-21,A69-9006-7849,6/22/2020 13:15,3735.93,6526.05,2.274,34.412845,-119.562957,1,5.1,,,2.2739,,In_A In_B Off_B OS1,In_A In_B Off_B,POINT (-119.562957 34.412845),0 days 00:01:00,0.12957131168522815,POINT (-119.562899 34.412794),316.8256607253696,-9.912172140913974,0
2020-06-22 13:16:00,44450,2020-21,A69-9006-7849,6/22/2020 13:16,3703.37,6550.44,2.274,34.413065,-119.563312,6,3.3,,,2.2739,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.563312 34.413065),0 days 00:01:00,0.6792069767257682,POINT (-119.562957 34.412845),306.9134885844556,-109.60786787516513,0
2020-06-22 13:17:00,47184,2020-21,A69-9006-7849,6/22/2020 13:17,3682.23,6482.85,3.032,34.412456,-119.563542,9,2.8,,,3.0319,,In_A In_B In_C Off_A Off_B OS1,In_A In_B In_C Off_A Off_B OS1,POINT (-119.563542 34.412456),0 days 00:01:00,1.179803456964906,POINT (-119.563312 34.413065),197.30562070929045,113.9803195844454,1
2020-06-22 13:18:00,46214,2020-21,A69-9006-7849,6/22/2020 13:18,3647.16,6513.47,2.729,34.412732,-119.563923,4,3.3,,,2.7287,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.563923 34.412732),0 days 00:01:00,0.7753682477301945,POINT (-119.563542 34.412456),311.28594029373585,-14.838769760300742,1
2020-06-22 13:19:00,45074,2020-21,A69-9006-7849,6/22/2020 13:19,3585.11,6544.28,2.426,34.413009,-119.564598,1,3.6,,,2.4255,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.564598 34.413009),0 days 00:01:00,1.1541208626920232,POINT (-119.563923 34.412732),296.4471705334351,-78.38912851970078,1
