,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
61033,In_A,A69-1601-62649,5/21/2020 10:56,3500.8,6589.6,3.657,34.413418,-119.565515,1,20.3,9.1,,,,In_A In_B Off_A Off_B,In_B Off_A Off_B
61037,In_D,A69-1601-62005,5/21/2020 10:59,5024.34,5467.08,6.705,34.4033,-119.548943,10,3.4,0.5,,,,In_D In_E Off_D Off_F OS2 PB,In_E Off_D Off_F OS2 PB
61040,Off_G,A69-1601-62001,5/21/2020 11:00,5386.84,4478.42,7.62,34.394387,-119.545001,1,12.5,4.0,,,,In_E In_F Off_G PB,In_E In_F PB
61041,Ref01,A69-1601-65105,5/21/2020 11:00,4717.81,4981.99,9.144,34.398927,-119.552277,8,3.8,4.3,,,,In_D In_E Off_B Off_C Off_D Off_E Off_F OS2 PB,In_D Off_C Off_D Off_E Off_F OS2
61046,Off_E,A69-1601-62004,5/21/2020 11:03,4785.98,5096.54,6.096,34.399959,-119.551536,9,2.9,0.6,,,,In_D In_E Off_D Off_E OS2 PB,In_D In_E Off_D OS2 PB
61047,Off_C,A69-1601-62644,5/21/2020 11:03,4200.71,5687.36,7.62,34.405285,-119.557901,2,3.3,2.2,,,,In_C Off_A Off_B Off_C Off_D,In_C Off_A Off_B Off_D
61048,In_B,A69-1601-62002,5/21/2020 11:04,4189.76,6254.67,6.096,34.410399,-119.558021,2,5.6,2.4,,,,In_B In_C Off_A Off_B Off_C,In_C Off_A Off_B Off_C
61051,Off_A,A69-1601-62648,5/21/2020 11:05,3478.0,6121.59,6.4,34.409199,-119.565762,1,8.6,6.5,,,,In_A In_B Off_A Off_C,In_A In_B Off_C
61057,In_D,A69-1601-62005,5/21/2020 11:09,5024.99,5468.05,6.705,34.403308,-119.548936,7,3.2,1.6,,,,In_C In_D In_E Off_D Off_E OS2,In_C In_E Off_D Off_E OS2
61058,Ref01,A69-1601-65105,5/21/2020 11:10,4715.64,4978.96,9.144,34.398899,-119.5523,6,4.7,0.7,,,,In_C In_D In_E In_F Off_B Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61065,Off_E,A69-1601-62004,5/21/2020 11:13,4785.02,5095.33,6.096,34.399948,-119.551546,3,3.9,1.0,,,,In_E Off_E Off_F OS2 PB,In_E Off_F OS2 PB
61077,In_D,A69-1601-62005,5/21/2020 11:20,5025.01,5468.1,6.705,34.403309,-119.548936,6,3.4,1.7,,,,In_D In_E Off_C Off_D Off_E OS2,In_E Off_C Off_D Off_E OS2
61078,Ref01,A69-1601-65105,5/21/2020 11:20,4716.83,4980.18,9.144,34.39891,-119.552288,6,4.7,2.3,,,,In_C In_D In_E In_F Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61082,In_B,A69-1601-62002,5/21/2020 11:23,4187.95,6252.07,6.096,34.410376,-119.558041,2,3.7,0.8,,,,In_A In_B In_C Off_B OS1,In_A In_C Off_B OS1
61084,Off_E,A69-1601-62004,5/21/2020 11:23,4787.44,5097.04,6.096,34.399964,-119.55152,9,3.1,2.2,,,,In_D In_E Off_D Off_E Off_F OS2 PB,In_D In_E Off_D Off_F OS2
61087,Off_C,A69-1601-62644,5/21/2020 11:24,4202.91,5689.1,7.62,34.405301,-119.557877,1,6.0,0.8,,,,In_B Off_C Off_D OS2,In_B Off_D OS2
61093,Ref01,A69-1601-65105,5/21/2020 11:29,4718.41,4982.53,9.144,34.398931,-119.55227,5,4.0,5.1,,,,In_C In_D In_E In_F Off_C Off_D Off_E Off_F PB,In_D In_F Off_C Off_D Off_E Off_F
61096,In_D,A69-1601-62005,5/21/2020 11:31,5025.79,5469.27,6.705,34.403319,-119.548928,1,4.1,3.1,,,,In_D In_E Off_E OS2,In_E Off_E OS2
61098,In_B,A69-1601-62002,5/21/2020 11:32,4188.01,6253.91,6.096,34.410392,-119.55804,7,3.5,1.1,,,,In_B In_C Off_A Off_B Off_C OS1,In_C Off_A Off_B Off_C OS1
61100,Off_E,A69-1601-62004,5/21/2020 11:33,4786.66,5096.91,6.096,34.399963,-119.551528,9,2.8,1.4,,,,In_D In_E Off_D Off_E Off_F PB,In_D In_E Off_D Off_F PB
61103,Off_C,A69-1601-62644,5/21/2020 11:35,4201.89,5689.58,7.62,34.405305,-119.557888,7,3.1,0.5,,,,In_B In_C Off_B Off_C Off_D Off_E OS2,In_C Off_B Off_D Off_E OS2
