,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
71,2020-20,A69-9006-7853,5/21/2020 22:01,4751.71,5802.21,-0.607,34.406321,-119.551908,6,3.4,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
72,2020-20,A69-9006-7853,5/21/2020 22:03,4698.8,5802.42,-0.607,34.406323,-119.552484,5,3.4,,,-0.6065,,In_C In_D Off_D Off_E OS2,In_C In_D Off_D Off_E OS2
73,2020-20,A69-9006-7853,5/21/2020 22:04,4658.93,5773.6,-0.607,34.406063,-119.552918,13,2.7,,,-0.6065,,In_C In_D Off_C Off_D Off_E OS2,In_C In_D Off_C Off_D Off_E OS2
74,2020-20,A69-9006-7853,5/21/2020 22:05,4622.81,5774.22,-0.607,34.406068,-119.55331,4,2.9,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
75,2020-20,A69-9006-7853,5/21/2020 22:07,4581.57,5771.53,-0.607,34.406044,-119.553759,1,3.2,,,-0.6065,,In_C Off_C OS2,In_C Off_C OS2
76,2020-19,A69-9006-7851,5/21/2020 22:07,3482.27,6366.31,-0.607,34.411405,-119.565716,4,3.1,,,-0.6065,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
77,2020-20,A69-9006-7853,5/21/2020 22:08,4563.34,5804.26,-0.607,34.406339,-119.553957,7,2.7,,,-0.6065,,In_B In_C Off_C Off_D OS2,In_B In_C Off_C Off_D OS2
78,2020-19,A69-9006-7851,5/21/2020 22:09,3584.82,6419.66,-0.607,34.411886,-119.564601,1,3.0,,,-0.6065,,In_A Off_A OS1,In_A Off_A OS1
79,2020-20,A69-9006-7853,5/21/2020 22:09,4520.88,5828.55,-0.607,34.406558,-119.554419,4,2.8,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
80,2020-19,A69-9006-7851,5/21/2020 22:11,3637.12,6458.39,-0.607,34.412235,-119.564032,1,3.2,,,-0.6065,,In_A Off_A OS1,In_A Off_A OS1
81,2020-20,A69-9006-7853,5/21/2020 22:11,4502.47,5873.59,-0.607,34.406964,-119.554619,4,2.8,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
82,2020-19,A69-9006-7851,5/21/2020 22:14,3740.26,6522.39,-0.607,34.412812,-119.56291,1,4.3,,,-0.6065,,In_A Off_A OS1,In_A Off_A OS1
83,2020-19,A69-9006-7851,5/21/2020 22:23,4066.7,6412.74,-0.607,34.411824,-119.55936,3,4.4,,,-0.6065,,In_B In_C Off_A Off_B OS1,In_B In_C Off_A Off_B OS1
84,2020-20,A69-9006-7853,5/21/2020 22:25,4446.22,6081.59,-0.607,34.408839,-119.555231,2,3.5,,,-0.6065,,In_B In_C Off_C OS2,In_B In_C Off_C OS2
